Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;1;0;63;0,375000;3072;12
0,375000;8192;1;4;0;67;0,125000;1024;4
0,500000;9216;2;1;0;72;0,375000;3072;12
0,875000;12288;2;4;0;65;0,062500;512;2
0,937500;12800;2;4;512;67;0,062500;512;2
1,000000;13312;3;1;0;65;0,250000;2048;8
1,250000;15360;3;3;0;65;0,125000;1024;4
1,375000;16384;3;4;0;60;0,250000;2048;8
1,625000;18432;4;2;0;58;0,250000;2048;8
1,875000;20480;4;4;0;58;0,062500;512;2
1,937500;20992;4;4;512;59;0,062500;512;2
2,000000;21504;5;1;0;60;0,375000;3072;12
2,375000;24576;5;4;0;60;0,125000;1024;4
2,500000;25600;6;1;0;60;0,187500;1536;6
2,687500;27136;6;2;512;58;0,031250;256;1
2,718750;27392;6;2;768;57;0,031250;256;1
2,750000;27648;6;3;0;58;0,125000;1024;4
2,875000;28672;6;4;0;62;0,125000;1024;4
3,000000;29696;7;1;0;63;0,000000;0;0
