onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
8.56816326531;0.214784580499;4;1;1;2;1;0.38022675737;"""4/4""";74;1;1;1;Bb7;A1;lick
8.98612244898;1.41641723356;4;1;1;3;1;0.377437641723;"""4/4""";70;1;0;1;Bb7;A1;lick
10.5128344671;0.16253968254;4;1;2;3;1;0.367709750567;"""4/4""";68;1;0;1;Eb7;A1;lick
10.8263038549;0.267029478458;4;4;2;4;1;0.366780045351;"""4/4""";69;1;0;1;Eb7;A1;lick
11.1107482993;0.214784580499;4;4;2;4;4;0.366780045351;"""4/4""";70;1;0;1;Eb7;A1;lick
11.5054875283;0.394739229025;4;4;3;1;4;0.379886621315;"""4/4""";70;1;0;1;Bb7;A1;lick
14.2222222222;0.0696598639456;4;3;5;1;1;0.368231292517;"""4/4""";73;2;1;1;Eb7;A1;#lick
14.2976870748;1.19002267574;4;3;5;1;2;0.368231292517;"""4/4""";75;2;0;1;Eb7;A1;#lick
15.6618594104;0.203174603175;4;4;6;1;1;0.374875283447;"""4/4""";73;2;0;1;Eb7;A1;#lick
15.9811337868;0.255419501134;4;4;6;1;4;0.374875283447;"""4/4""";70;2;0;1;Eb7;A1;#lick
16.2887981859;0.400544217687;4;2;6;2;2;0.367664399093;"""4/4""";68;2;0;1;Eb7;A1;#lick
16.7;0.0683673469388;4;4;6;3;4;0.358072562358;"""4/4""";64;2;0;1;Eb7;A1;#lick
16.8286621315;0.208979591837;4;1;6;4;1;0.376621315193;"""4/4""";69;2;0;1;Eb7;A1;#lick
17.1479365079;0.615328798186;4;1;7;1;1;0.367845804989;"""4/4""";70;2;0;1;Bb7;A1;#lick
17.7980952381;0.139319727891;4;4;7;2;4;0.367641723356;"""4/4""";70;2;0;1;Bb7;A1;#lick
19.208707483;0.174149659864;4;2;8;2;2;0.355623582766;"""4/4""";72;3;1;1;D-7;A1;lick
19.3944671202;0.330884353741;4;1;8;3;1;0.377324263039;"""4/4""";74;3;0;1;G7;A1;lick
