Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;1;0;76;0,062500;512;2
0,062500;5632;1;1;512;74;0,062500;512;2
0,125000;6144;1;2;0;74;0,062500;512;2
0,187500;6656;1;2;512;72;0,062500;512;2
0,250000;7168;1;3;0;72;0,062500;512;2
0,312500;7680;1;3;512;71;0,062500;512;2
0,375000;8192;1;4;0;71;0,062500;512;2
0,437500;8704;1;4;512;64;0,062500;512;2
0,500000;9216;2;1;0;65;0,187500;1536;6
0,687500;10752;2;2;512;76;0,062500;512;2
0,750000;11264;2;3;0;74;0,062500;512;2
0,812500;11776;2;3;512;76;0,437500;3584;14
1,250000;15360;3;3;0;67;0,125000;1024;4
1,375000;16384;3;4;0;74;0,062500;512;2
1,437500;16896;3;4;512;74;0,062500;512;2
1,500000;17408;4;1;0;74;0,062500;512;2
1,562500;17920;4;1;512;74;0,312500;2560;10
1,875000;20480;4;4;0;72;0,062500;512;2
1,937500;20992;4;4;512;72;0,250000;2048;8
2,187500;23040;5;2;512;67;0,062500;512;2
2,250000;23552;5;3;0;69;0,062500;512;2
2,312500;24064;5;3;512;72;0,062500;512;2
2,375000;24576;5;4;0;72;0,187500;1536;6
2,562500;26112;6;1;512;72;0,125000;1024;4
2,687500;27136;6;2;512;72;0,187500;1536;6
2,875000;28672;6;4;0;69;0,062500;512;2
2,937500;29184;6;4;512;72;0,125000;1024;4
3,062500;30208;7;1;512;74;0,062500;512;2
3,125000;30720;7;2;0;76;0,062500;512;2
3,187500;31232;7;2;512;74;0,125000;1024;4
3,312500;32256;7;3;512;72;0,000000;0;0
